,url_length,path_length,ip_present,number_of_digits,number_of_parameters,number_of_fragments,is_url_encoded,number_encoded_char,number_of_subdirectories,host_length,number_of_periods,has_client,has_admin,has_server,has_login,number_of_dashes,have_at_sign,is_tiny_url,number_of_subdomains_and_extensions,number_of_spaces,number_of_zeros,is_url_single_character_directory,number_of_uppercase,number_of_lowercase,ratio_upper_to_lower,number_of_double_slashes,target
161,33,0,0,0,0,0,False,0,0,26,2,False,False,False,False,0,False,0,2,0,0,0,0,28,0.0,1,0
162,50,29,0,0,0,0,False,0,3,14,3,False,False,False,False,0,False,0,2,0,0,0,0,41,0.0,1,0
163,72,49,0,0,0,0,False,0,2,16,2,False,False,False,False,0,False,0,2,0,0,0,0,59,0.0,1,0
164,29,0,0,0,0,0,False,0,0,22,2,False,False,False,False,0,False,0,2,0,0,0,0,24,0.0,1,0
165,45,18,0,2,0,0,False,0,1,20,3,False,False,False,False,0,False,0,2,0,0,0,0,35,0.0,1,0
166,26,1,0,0,0,0,False,0,1,18,2,False,False,False,False,1,False,1,2,0,0,0,0,19,0.0,1,0
167,36,12,0,0,0,0,False,0,2,17,2,False,False,False,False,0,False,0,2,0,0,0,0,29,0.0,1,0
168,27,1,0,0,0,0,False,0,1,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
169,30,1,0,0,0,0,False,0,1,22,1,False,False,False,False,0,False,0,1,0,0,0,0,25,0.0,1,0
170,30,1,0,0,0,0,False,0,1,22,2,False,False,False,False,0,False,0,2,0,0,0,0,24,0.0,1,0
171,27,1,0,0,0,0,False,0,1,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
172,49,0,0,0,0,0,False,0,0,42,3,False,False,False,False,1,False,0,3,0,0,0,0,42,0.0,1,0
173,21,1,0,0,0,0,False,0,1,13,2,False,False,False,False,0,False,0,2,0,0,0,0,15,0.0,1,0
174,51,25,0,0,0,0,False,0,2,19,4,False,False,False,False,0,False,0,3,0,0,0,0,40,0.0,1,0
175,62,42,0,0,0,0,False,0,5,13,3,False,False,False,False,0,False,0,2,0,0,0,0,50,0.0,1,0
176,40,19,0,0,0,0,False,0,2,14,3,False,False,False,False,0,False,0,2,0,0,0,0,32,0.0,1,0
177,34,0,0,0,0,0,False,0,0,27,2,False,False,False,False,0,False,0,2,0,0,0,0,29,0.0,1,0
178,52,10,0,3,0,0,False,0,1,35,6,False,False,False,False,0,False,0,5,0,2,0,0,39,0.0,1,0
179,26,1,0,0,0,0,False,0,1,18,2,False,False,False,False,1,False,0,2,0,0,0,0,19,0.0,1,0
180,38,9,0,0,0,0,False,0,2,22,1,False,False,False,False,2,False,0,1,0,0,0,0,30,0.0,1,0
181,20,1,0,0,0,0,False,0,1,12,2,False,False,False,False,0,False,0,2,0,0,0,0,14,0.0,1,0
182,36,13,0,0,0,0,False,0,1,16,2,False,False,False,False,0,False,0,1,0,0,0,0,30,0.0,1,0
183,55,31,0,4,0,0,False,0,4,17,3,False,False,False,False,0,False,0,2,0,2,0,0,41,0.0,1,0
184,19,0,0,0,0,0,False,0,0,12,2,False,False,False,False,0,False,0,2,0,0,0,0,14,0.0,1,0
185,54,33,0,0,0,0,False,0,3,14,4,False,False,False,False,0,False,0,3,0,0,0,0,44,0.0,1,0
186,38,7,0,0,0,0,False,0,2,24,2,False,False,False,False,1,False,0,2,0,0,0,0,30,0.0,1,0
187,19,1,0,0,0,0,False,0,1,11,2,False,False,False,False,0,False,0,2,0,0,0,0,13,0.0,1,0
188,37,14,0,0,0,0,False,0,1,16,4,False,False,False,False,0,False,0,3,0,0,0,0,29,0.0,1,0
189,27,1,0,0,0,0,False,0,1,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
